"","nome_jogo","nota_jogo","link_jogo","ano_jogo","genero_jogo","link_avaliacao","avaliacao_jogo","diretor_jogo"
"746","Xeno Crisis","7.4","https://www.imdb.com/title/tt18465692/?ref_=adv_li_tt",2019,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt18465692/ratings/?ref_=tt_ov_rt","0|1|6|1|0|0|0|1|0|0",NA
"747","Sûîto hômu","7.7","https://www.imdb.com/title/tt0278750/?ref_=adv_li_tt",1989,"
Adventure, Horror","https://www.imdb.com/title/tt0278750/ratings/?ref_=tt_ov_rt","10|1|9|4|1|2|0|2|1|5",NA
"748","Monster Madness: Battle for Suburbia","5.2","https://www.imdb.com/title/tt2185096/?ref_=adv_li_tt",2007,"
Action, Adventure, Comedy","https://www.imdb.com/title/tt2185096/ratings/?ref_=tt_ov_rt","1|0|0|1|3|2|1|0|1|1","Jeremy Stieglitz
"
"749","The Deepest Sleep","7.5","https://www.imdb.com/title/tt5453244/?ref_=adv_li_tt",2014,"
Adventure, Horror, Mystery","https://www.imdb.com/title/tt5453244/ratings/?ref_=tt_ov_rt","4|1|7|0|0|0|0|0|1|1","Scriptwelder
"
"750","The Dishwasher: Vampire Smile",NA,"https://www.imdb.com/title/tt21945482/?ref_=adv_li_tt",2011,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt21945482/ratings/?ref_=tt_ov_rt",NA,NA
"751","The Dream of Shadowlands: Episode 1",NA,"https://www.imdb.com/title/tt21818144/?ref_=adv_li_tt",2020,"
Adventure, Fantasy, Horror","https://www.imdb.com/title/tt21818144/ratings/?ref_=tt_ov_rt",NA,"Catalina Zavaleta
"
"752","Bulb Boy","6.5","https://www.imdb.com/title/tt14547734/?ref_=adv_li_tt",2015,"
Adventure, Horror","https://www.imdb.com/title/tt14547734/ratings/?ref_=tt_ov_rt","0|0|3|1|3|0|0|1|0|0",NA
"753","Presentable Liberty",NA,"https://www.imdb.com/title/tt21158090/?ref_=adv_li_tt",2014,"
Adventure, Horror, Mystery","https://www.imdb.com/title/tt21158090/ratings/?ref_=tt_ov_rt",NA,"Robert 'Wertpol' Brock
"
"754","Escape from Bug Island","6","https://www.imdb.com/title/tt6269832/?ref_=adv_li_tt",2006,"
Action, Adventure, Horror","https://www.imdb.com/title/tt6269832/ratings/?ref_=tt_ov_rt","2|0|0|2|1|0|3|1|1|0","Nobuyasu Motoki
"
"755","Doom RPG","7.7","https://www.imdb.com/title/tt14747262/?ref_=adv_li_tt",2005,"
Action, Adventure, Fantasy","https://www.imdb.com/title/tt14747262/ratings/?ref_=tt_ov_rt","2|2|2|1|1|1|0|0|1|0",NA
